Site,Plot,ID,Order ,Species ,Count,Type
CS,CS_M1_6,CS_M1,Coleoptera,Nebria brevicollis,1,Mature
CS,CS_M1_6,CS_M1,Coleoptera,Notiophilus rufipes,1,Mature
CS,CS_M1_6,CS_M1,Coleoptera,Pterostichus madidus,1,Mature
CS,CS_M2_2,CS_M2,Coleoptera,Abax parallelepipedus,1,Mature
CS,CS_M2_2,CS_M2,Araneae,Dysdera erythina,1,Mature
CS,CS_M2_2,CS_M2,Araneae,Linyphiidae,4,Mature
CS,CS_M2_2,CS_M2,Araneae,Pardosa sp,1,Mature
CS,CS_M2_2,CS_M2,Coleoptera,Pterostichus madidus,2,Mature
CS,CS_M2_3,CS_M2,Araneae,Dysdera erythina,1,Mature
CS,CS_M2_3,CS_M2,Araneae,Linyphiidae,3,Mature
CS,CS_M2_3,CS_M2,Araneae,Notiophilus biguttatus,1,Mature
CS,CS_M2_3,CS_M2,Araneae,Notiophilus rufipes,1,Mature
CS,CS_M2_3,CS_M2,Coleoptera,Pterostichus madidus,1,Mature
CS,CS_M2_3,CS_M2,Araneae,Trochosa ruricola,1,Mature
CS,CS_M2_4,CS_M2,Coleoptera,Notiophilus rufipes,1,Mature
CS,CS_M2_4,CS_M2,Araneae,Linyphiidae,2,Mature
CS,CS_M2_5,CS_M2,Araneae,Linyphiidae,8,Mature
CS,CS_M2_5,CS_M2,Coleoptera,Nebria brevicollis,3,Mature
CS,CS_M2_5,CS_M2,Coleoptera,Notiophilus biguttatus,3,Mature
CS,CS_M2_5,CS_M2,Coleoptera,Notiophilus rufipes,2,Mature
CS,CS_M2_5,CS_M2,Coleoptera,Limodromus assimilis,4,Mature
CS,CS_M2_5,CS_M2,Coleoptera,Pterostichus madidus,5,Mature
CS,CS_M2_6,CS_M2,Coleoptera,Abax parallelepipedus,1,Mature
CS,CS_M2_6,CS_M2,Araneae,Dysdera erythina,1,Mature
CS,CS_M2_6,CS_M2,Coleoptera,Leistus fulvibarbis,1,Mature
CS,CS_M2_6,CS_M2,Coleoptera,Nebria brevicollis,2,Mature
CS,CS_M2_6,CS_M2,Coleoptera,Notiophilus rufipes,1,Mature
CS,CS_M3_1,CS_M3,Coleoptera,Abax parallelepipedus,4,Mature
CS,CS_M3_1,CS_M3,Araneae,Dysdera erythina,4,Mature
CS,CS_M3_1,CS_M3,Araneae,Linyphiidae,3,Mature
CS,CS_M3_1,CS_M3,Coleoptera,Bembidion lampros,1,Mature
CS,CS_M3_1,CS_M3,Araneae,Linyphiidae,2,Mature
CS,CS_M3_1,CS_M3,Coleoptera,Nebria brevicollis,1,Mature
CS,CS_M3_1,CS_M3,Coleoptera,Notiophilus biguttatus,1,Mature
CS,CS_M3_1,CS_M3,Araneae,Trochosa sp,2,Mature
CS,CS_M3_2,CS_M3,Coleoptera,Bembidion lampros,1,Mature
CS,CS_M3_2,CS_M3,Araneae,Linyphiidae,3,Mature
CS,CS_M3_2,CS_M3,Coleoptera,Nebria brevicollis,1,Mature
CS,CS_M3_2,CS_M3,Coleoptera,Notiophilus rufipes,1,Mature
CS,CS_M3_2,CS_M3,Coleoptera,Notiophilus substriatus,1,Mature
CS,CS_M3_3,CS_M3,Coleoptera,Asaphidion flavipes,1,Mature
CS,CS_M3_3,CS_M3,Coleoptera,Bembidion lampros,1,Mature
CS,CS_M3_3,CS_M3,Araneae,Pardosa sp,1,Mature
CS,CS_M3_3,CS_M3,Coleoptera,Pterostichus longicollis,1,Mature
CS,CS_M3_3,CS_M3,Coleoptera,Pterostichus strenuus,1,Mature
CS,CS_M3_4,CS_M3,Coleoptera,Abax parallelepipedus,1,Mature
CS,CS_M3_4,CS_M3,Coleoptera,Asaphidion flavipes,1,Mature
CS,CS_M3_4,CS_M3,Araneae,Linyphiidae,2,Mature
CS,CS_M3_4,CS_M3,Coleoptera,Notiophilus biguttatus,1,Mature
CS,CS_M3_4,CS_M3,Coleoptera,Notiophilus rufipes,1,Mature
CS,CS_M3_4,CS_M3,Coleoptera,Pterostichus strenuus,1,Mature
CS,CS_M3_4,CS_M3,Coleoptera,Syntomus obscuroguttatus,1,Mature
CS,CS_M4_1,CS_M4,Coleoptera,Bembidion lampros,1,Mature
CS,CS_M4_2,CS_M4,Coleoptera,Bembidion lampros,1,Mature
CS,CS_M4_2,CS_M4,Araneae,Linyphiidae,1,Mature
CS,CS_M4_2,CS_M4,Coleoptera,Limodromus assimilis,1,Mature
CS,CS_M4_3,CS_M4,Coleoptera,Abax parallelepipedus,1,Mature
CS,CS_M4_3,CS_M4,Coleoptera,Linyphiidae,2,Mature
CS,CS_M4_3,CS_M4,Coleoptera,Syntomus obscuroguttatus,1,Mature
CS,CS_M4_4,CS_M4,Araneae,Linyphiidae,3,Mature
CS,CS_M4_4,CS_M4,Coleoptera,Notiophilus rufipes,1,Mature
CS,CS_M4_4,CS_M4,Coleoptera,Pterostichus madidus,1,Mature
CS,CS_M4_5,CS_M4,Coleoptera,Pterostichus strenuus,4,Mature
CS,CS_M4_5,CS_M4,Araneae,Trochosa ruricola,1,Mature
CS,CS_M4_6,CS_M4,Coleoptera,Notiophilus biguttatus,2,Mature
CS,CS_M4_6,CS_M4,Araneae,Pardosa pullata,1,Mature
CS,CS_M4_6,CS_M4,Coleoptera,Pterostichus macer,3,Mature
CS,CS_P1_1,CS_P1,Coleoptera,Asaphidion flavipes,1,PL
CS,CS_P1_1,CS_P1,Coleoptera,Nebria brevicollis,1,PL
CS,CS_P1_1,CS_P1,Coleoptera,Limodromus assimilis,1,PL
CS,CS_P1_1,CS_P1,Coleoptera,Pterostichus madidus,2,PL
CS,CS_P1_2,CS_P1,Araneae,Linyphiidae,4,PL
CS,CS_P1_2,CS_P1,Coleoptera,Notiophilus biguttatus,1,PL
CS,CS_P1_2,CS_P1,Coleoptera,Limodromus assimilis,1,PL
CS,CS_P1_2,CS_P1,Coleoptera,Pterostichus madidus,1,PL
CS,CS_P1_3,CS_P1,Coleoptera,Clivina fossor,1,PL
CS,CS_P1_3,CS_P1,Araneae,Linyphiidae,2,PL
CS,CS_P1_3,CS_P1,Coleoptera,Peocilus cupreus,4,PL
CS,CS_P1_3,CS_P1,Coleoptera,Limodromus assimilis,3,PL
CS,CS_P1_3,CS_P1,Araneae,Trochosa terricola,1,PL
CS,CS_P1_4,CS_P1,Coleoptera,Bembidion lampros,1,PL
CS,CS_P1_4,CS_P1,Coleoptera,Bembidion lampros,2,PL
CS,CS_P1_4,CS_P1,Araneae,Linyphiidae,4,PL
CS,CS_P1_4,CS_P1,Araneae,Linyphiidae,2,PL
CS,CS_P1_4,CS_P1,Araneae,Pardosa amentata,7,PL
CS,CS_P1_4,CS_P1,Coleoptera,Limodromus assimilis,5,PL
CS,CS_P1_6,CS_P1,Coleoptera,Harpalus affinis,1,PL
CS,CS_P1_6,CS_P1,Araneae,Linyphiidae,4,PL
CS,CS_P1_6,CS_P1,Coleoptera,Loricera pilicornis,1,PL
CS,CS_P1_6,CS_P1,Coleoptera,Pterostichus strenuus,1,PL
CS,CS_P2_1,CS_P2,Araneae,Linyphiidae,5,PL
CS,CS_P2_1,CS_P2,Coleoptera,Notiophilus biguttatus,1,PL
CS,CS_P2_1,CS_P2,Coleoptera,Notiophilus rufipes,1,PL
CS,CS_P2_1,CS_P2,Coleoptera,Pterostichus madidus,2,PL
CS,CS_P2_2,CS_P2,Coleoptera,Abax parallelepipedus,1,PL
CS,CS_P2_2,CS_P2,Araneae,Clubiona comta,1,PL
CS,CS_P2_2,CS_P2,Araneae,Linyphiidae,7,PL
CS,CS_P2_2,CS_P2,Araneae,Pardosa lugabris,1,PL
CS,CS_P2_2,CS_P2,Coleoptera,Pterostichus madidus,1,PL
CS,CS_P2_3,CS_P2,Coleoptera,Abax parallelepipedus,1,PL
CS,CS_P2_3,CS_P2,Araneae,Alopecosa pulverulenta,1,PL
CS,CS_P2_3,CS_P2,Coleoptera,Asaphidion flavipes,1,PL
CS,CS_P2_3,CS_P2,Araneae,Linyphiidae,4,PL
CS,CS_P2_3,CS_P2,Coleoptera,Nebria brevicollis,7,PL
CS,CS_P2_4,CS_P2,Coleoptera,Pterostichus madidus,1,PL
CS,CS_P2_4,CS_P2,Coleoptera,Abax parallelepipedus,1,PL
CS,CS_P2_4,CS_P2,Araneae,Linyphiidae,17,PL
CS,CS_P2_4,CS_P2,Araneae,Clubiona comta,2,PL
CS,CS_P2_4,CS_P2,Coleoptera,Notiophilus rufipes,3,PL
CS,CS_P2_4,CS_P2,Coleoptera,Notiophilus biguttatus,2,PL
CS,CS_P2_5,CS_P2,Coleoptera,Abax parallelepipedus,2,PL
CS,CS_P2_5,CS_P2,Coleoptera,Asaphidion flavipes,1,PL
CS,CS_P2_5,CS_P2,Araneae,Linyphiidae,3,PL
CS,CS_P2_5,CS_P2,Coleoptera,Notiophilus biguttatus,1,PL
CS,CS_P2_5,CS_P2,Coleoptera,Limodromus assimilis,1,PL
CS,CS_P2_5,CS_P2,Araneae,Trochosa ruricola,1,PL
CS,CS_P2_6,CS_P2,Coleoptera,Asaphidion flavipes,3,PL
CS,CS_P2_6,CS_P2,Araneae,Linyphiidae,6,PL
CS,CS_P2_6,CS_P2,Coleoptera,Limodromus assimilis,2,PL
DP,DP_M1_1,DP_M1,Coleoptera,Nebria brevicollis,6,Mature
DP,DP_M1_1,DP_M1,Coleoptera,Pterostichus madidus,1,Mature
DP,DP_M1_1,DP_M1,Coleoptera,Notiophilus rufipes,1,Mature
DP,DP_M1_2,DP_M1,Coleoptera,Pterostichus madidus,1,Mature
DP,DP_M1_2,DP_M1,Araneae,Linyphiidae,1,Mature
DP,DP_M1_2,DP_M1,Araneae,clubiona sp,1,Mature
DP,DP_M1_3,DP_M1,Coleoptera,Pterostichus madidus,1,Mature
DP,DP_M1_4,DP_M1,Coleoptera,Nebria brevicollis,1,Mature
DP,DP_M1_4,DP_M1,Coleoptera,Loricera pilicornis,1,Mature
DP,DP_M1_4,DP_M1,Coleoptera,Notiophilus rufipes,2,Mature
DP,DP_M1_4,DP_M1,Coleoptera,Notiophilus biguttatus,1,Mature
DP,DP_M1_4,DP_M1,Araneae,Linyphiidae,2,Mature
DP,DP_M1_4,DP_M1,Araneae,Pachygnatha degeeri,1,Mature
DP,DP_M1_5,DP_M1,Coleoptera,Nebria brevicollis,2,Mature
DP,DP_M1_5,DP_M1,Araneae,Linyphiidae,1,Mature
DP,DP_M1_6,DP_M1,Araneae,Linyphiidae,3,Mature
DP,DP_M1_6,DP_M1,Coleoptera,Nebria brevicollis,1,Mature
DP,DP_M1_6,DP_M1,Coleoptera,Pterostichus madidus,,Mature
DP,DP_M2_1,DP_M2,Coleoptera,Pterostichus madidus,1,Mature
DP,DP_M2_1,DP_M2,Araneae,Pachygnatha degeeri,1,Mature
DP,DP_M2_1,DP_M2,Araneae,Linyphiidae,1,Mature
DP,DP_M2_1,DP_M2,Coleoptera,Notiophilus rufipes,1,Mature
DP,DP_M2_2,DP_M2,Coleoptera,Abax parallelepipedus,1,Mature
DP,DP_M2_3,DP_M2,Coleoptera,Abax parallelepipedus,1,Mature
DP,DP_M2_3,DP_M2,Coleoptera,Notiophilus rufipes,1,Mature
DP,DP_M2_3,DP_M2,Coleoptera,Notiophilus biguttatus,1,Mature
DP,DP_M2_3,DP_M2,Araneae,Linyphiidae,1,Mature
DP,DP_M2_4,DP_M2,Coleoptera,Abax parallelepipedus,1,Mature
DP,DP_M2_4,DP_M2,Coleoptera,Pterostichus madidus,2,Mature
DP,DP_M2_4,DP_M2,Coleoptera,Notiophilus rufipes,3,Mature
DP,DP_M2_4,DP_M2,Araneae,Linyphiidae,2,Mature
DP,DP_M2_4,DP_M2,Araneae,Tetragnatha sp,1,Mature
DP,DP_M2_4,DP_M2,Araneae,Oxyptila trux,1,Mature
DP,DP_M2_5,DP_M2,Araneae,Linyphiidae,2,Mature
DP,DP_M2_5,DP_M2,Araneae,Pardosa sp,2,Mature
DP,DP_M2_6,DP_M2,Araneae,Trochosa terricola,1,Mature
DP,DP_M2_6,DP_M2,Araneae,Pardosa sp,2,Mature
DP,DP_M2_6,DP_M2,Araneae,Linyphiidae,1,Mature
DP,DP_M2_6,DP_M2,Araneae,Notiophilus rufipes,1,Mature
DP,DP_M2_6,DP_M2,Araneae,Pterostichus madidus,1,Mature
DP,DP_M2_6,DP_M2,Araneae,Bycatch,11,Mature
DP,DP_M3_1,DP_M3,Coleoptera,Carabus nemoralis ,1,Mature
DP,DP_M3_1,DP_M3,Araneae,Linyphiidae,1,Mature
DP,DP_M3_1,DP_M3,Araneae,Trochosa ruricola,2,Mature
DP,DP_M3_1,DP_M3,Araneae,Pardosa sp,1,Mature
DP,DP_M3_2,DP_M3,Coleoptera,Abax parallelepipedus,6,Mature
DP,DP_M3_2,DP_M3,Araneae,Agroeca brunnea,1,Mature
DP,DP_M3_2,DP_M3,Coleoptera,Nebria brevicollis,1,Mature
DP,DP_M3_2,DP_M3,Coleoptera,Notiophilus rufipes,1,Mature
DP,DP_M3_2,DP_M3,Araneae,Robertus lividus,1,Mature
DP,DP_M3_3,DP_M3,Coleoptera,Nebria brevicollis,3,Mature
DP,DP_M3_3,DP_M3,Coleoptera,Trochosa ruricola,4,Mature
DP,DP_M3_4,DP_M3,Araneae,Trochosa sp,,Mature
DP,DP_M3_5,DP_M3,Araneae,Linyphiidae,2,Mature
DP,DP_M3_5,DP_M3,Coleoptera,Nebria brevicollis,2,Mature
DP,DP_M3_5,DP_M3,Coleoptera,Notiophilus rufipes,1,Mature
DP,DP_M3_5,DP_M3,Coleoptera,Pterostichus madidus,1,Mature
DP,DP_M4_1,DP_M4,Araneae,Linyphiidae,1,Mature
DP,DP_M4_2,DP_M4,Coleoptera,Pterostichus madidus,3,Mature
DP,DP_M4_2,DP_M4,Coleoptera,Nebria brevicollis,1,Mature
DP,DP_M4_2,DP_M4,Araneae,Linyphiidae,1,Mature
DP,DP_M4_3,DP_M4,Coleoptera,Abax parallelepipedus,2,Mature
DP,DP_M4_3,DP_M4,Coleoptera,Nebria brevicollis,1,Mature
DP,DP_M4_3,DP_M4,Coleoptera,Notiophilus biguttatus ,1,Mature
DP,DP_M4_3,DP_M4,Araneae,Trochosa sp,1,Mature
DP,DP_M4_4,DP_M4,Coleoptera,Abax parallelepipedus,2,Mature
DP,DP_M4_4,DP_M4,Araneae,lycosidae. Immature.,1,Mature
DP,DP_M4_4,DP_M4,Araneae,Trochosa terricola,1,Mature
DP,DP_M4_5,DP_M4,Coleoptera,Notiophilus rufipes,3,Mature
DP,DP_M4_6,DP_M4,Araneae,Linyphiidae,1,Mature
DP,DP_P1_1,DP_P1,Coleoptera,Pterostichus madidus,1,PL
DP,DP_P1_1,DP_P1,Araneae,Pachygnatha degeeri,1,PL
DP,DP_P1_1,DP_P1,Araneae,Pardosa sp,1,PL
DP,DP_P1_3,DP_P1,Araneae,Pachygnatha degeeri,1,PL
DP,DP_P1_4,DP_P1,Araneae,Clubiona comta,1,PL
DP,DP_P1_5,DP_P1,Araneae,Trochosa terricola,1,PL
DP,DP_P1_6,DP_P1,Araneae,Pachygnatha degeeri,1,PL
DP,DP_P2_1A,DP_P2,Araneae,Linyphiidae,2,PL
DP,DP_P2_2,DP_P2,Araneae,Trochosa terricola,1,PL
DP,DP_P2_3,DP_P2,Araneae,Trochosa ruricola,1,PL
DP,DP_P2_3,DP_P2,Araneae,Linyphiidae,1,PL
DP,DP_P2_3,DP_P2,Coleoptera,Pselaphus heisei ,1,PL
DP,DP_P2_4,DP_P2,Araneae,Linyphiidae,1,PL
DP,DP_P2_4,DP_P2,Araneae,Pardosa sp,1,PL
DP,DP_P2_4,DP_P2,Araneae,Trochosa terricola,4,PL
DP,DP_P2_5,DP_P2,Araneae,Clubionidae,1,PL
DP,DP_P2_5,DP_P2,Araneae,Linyphiidae,1,PL
DP,DP_P2_5,DP_P2,Araneae,Lycosidae. Immature.,1,PL
DW,DW_M1_1,DW_M1,Coleoptera,Nebria brevicollis,2,Mature
DW,DW_M1_1,DW_M1,Coleoptera,Abax parallelepipedus,1,Mature
DW,DW_M1_1,DW_M1,Araneae,Linyphiidae,3,Mature
DW,DW_M1_2,DW_M1,Coleoptera,Abax parallelepipedus,2,Mature
DW,DW_M1_2,DW_M1,Araneae,Linyphiidae,1,Mature
DW,DW_M1_2,DW_M1,Coleoptera,Nebria brevicollis,1,Mature
DW,DW_M1_2,DW_M1,Coleoptera,Pterostichus madidus,1,Mature
DW,DW_M1_3,DW_M1,Coleoptera,Nebria brevicollis,1,Mature
DW,DW_M1_3,DW_M1,Araneae,Linyphiidae,4,Mature
DW,DW_M1_4,DW_M1,Coleoptera,Abax parallelepipedus,1,Mature
DW,DW_M1_4,DW_M1,Araneae,Linyphiidae,2,Mature
DW,DW_M1_4,DW_M1,Coleoptera,Notiophilus biguttatus,2,Mature
DW,DW_M1_5,DW_M1,Araneae,Linyphiidae,3,Mature
DW,DW_M1_5,DW_M1,Coleoptera,Notiophilus rufipes,5,Mature
DW,DW_M1_5,DW_M1,Coleoptera,Pterostichus madidus,1,Mature
DW,DW_M1_6,DW_M1,Araneae,Linyphiidae,2,Mature
DW,DW_M1_6,DW_M1,Coleoptera,Nebria brevicollis,4,Mature
DW,DW_M1_6,DW_M1,Coleoptera,Notiophilus biguttatus ,1,Mature
DW,DW_M1_6,DW_M1,Coleoptera,Notiophilus rufipes,1,Mature
DW,DW_M2_1,DW_M2,Araneae,Linyphiidae,1,Mature
DW,DW_M2_1,DW_M2,Coleoptera,Notiophilus rufipes,1,Mature
DW,DW_M2_1,DW_M2,Coleoptera,Syntomus obscuroguttatus,1,Mature
DW,DW_M2_2,DW_M2,Araneae,Linyphiidae,3,Mature
DW,DW_M2_2,DW_M2,Coleoptera,Notiophilus rufipes,2,Mature
DW,DW_M2_3,DW_M2,Araneae,Trochosa terricola,2,Mature
DW,DW_M2_3,DW_M2,Araneae,Pardosa sp,1,Mature
DW,DW_M2_4,DW_M2,Coleoptera,Abax parallelepipedus,1,Mature
DW,DW_M2_4,DW_M2,Araneae,Pardosa amentata,3,Mature
DW,DW_M2_4,DW_M2,Araneae,Alopecosa pulverulenta,1,Mature
DW,DW_M2_5,DW_M2,Coleoptera,Acupalpus flavicollis,1,Mature
DW,DW_M2_5,DW_M2,Araneae,Pardosa sp,1,Mature
DW,DW_M2_6,DW_M2,Araneae,Trochosa terricola,1,Mature
DW,DW_M2_6,DW_M2,Araneae,Pardosa sp,2,Mature
DW,DW_M2_6,DW_M2,Coleoptera,Peocilus cupreus,1,Mature
DW,DW_M3_1,DW_M3,Coleoptera,Carabus nemoralis ,1,Mature
DW,DW_M3_1,DW_M3,Coleoptera,Carabus problematicus,1,Mature
DW,DW_M3_1,DW_M3,Araneae,Pardosa sp,1,Mature
DW,DW_M3_1,DW_M3,Coleoptera,Syntomus obscuroguttatus,1,Mature
DW,DW_M3_1,DW_M3,Araneae,Xysticus cristatus,1,Mature
DW,DW_M3_3,DW_M3,Araneae,Trochosa terricola,1,Mature
DW,DW_M3_5,DW_M3,Coleoptera,Notiophilus palustris,1,Mature
DW,DW_M3_5,DW_M3,Coleoptera,Notiophilus substriatus,1,Mature
DW,DW_M3_5,DW_M3,Araneae,Pardosa lugabris,1,Mature
DW,DW_M3_5,DW_M3,Araneae,Pardosa sp,1,Mature
DW,DW_M3_5,DW_M3,Araneae,Trochosa terricola,1,Mature
DW,DW_M3_6,DW_M3,Coleoptera,Notiophilus germinyi,1,Mature
DW,DW_M3_6,DW_M3,Araneae,Linyphiidae,1,Mature
DW,DW_M3_6,DW_M3,Araneae,Pardosa lugabris,8,Mature
DW,DW_M4_1,DW_M4,Coleoptera,Bembidion obtusum ,1,Mature
DW,DW_M4_1,DW_M4,Coleoptera,Leistus spinibarbis,1,Mature
DW,DW_M4_1,DW_M4,Araneae,Linyphiidae,2,Mature
DW,DW_M4_1,DW_M4,Coleoptera,Nebria brevicollis,2,Mature
DW,DW_M4_1,DW_M4,Coleoptera,Notiophilus rufipes,1,Mature
DW,DW_M4_1,DW_M4,Araneae,Trochosa ruricola,1,Mature
DW,DW_M4_1,DW_M4,Araneae,Trochosa sp,1,Mature
DW,DW_M4_2,DW_M4,Araneae,Linyphiidae,1,Mature
DW,DW_M4_2,DW_M4,Coleoptera,Notiophilus rufipes,1,Mature
DW,DW_M4_2,DW_M4,Araneae,Trochosa sp,1,Mature
DW,DW_M4_2,DW_M4,Coleoptera,Notiophilus biguttatus,1,Mature
DW,DW_M4_3,DW_M4,Araneae,Linyphiidae,2,Mature
DW,DW_M4_3,DW_M4,Coleoptera,Bembidion lampros,3,Mature
DW,DW_M4_4,DW_M4,Coleoptera,Nebria brevicollis,1,Mature
DW,DW_M4_4,DW_M4,Coleoptera,Asaphidion flavipes,2,Mature
DW,DW_M4_4,DW_M4,Araneae,Linyphiidae,1,Mature
DW,DW_M4_5,DW_M4,Coleoptera,Pterostichus madidus,1,Mature
DW,DW_M4_5,DW_M4,Araneae,Trochosa ruricola,1,Mature
DW,DW_M4_6,DW_M4,Coleoptera,Abax parallelepipedus,1,Mature
DW,DW_M4_6,DW_M4,Coleoptera,amara eurynota,1,Mature
DW,DW_M4_6,DW_M4,Araneae,Linyphiidae,2,Mature
DW,DW_M4_6,DW_M4,Coleoptera,Notiophilus rufipes,3,Mature
DW,DW_M4_6,DW_M4,Coleoptera,Pterostichus madidus,1,Mature
DW,DW_M4_6,DW_M4,Araneae,Trochosa terricola,1,Mature
DW,DW_P1_1,DW_P1,Araneae,Linyphiidae,1,PL
DW,DW_P1_1,DW_P1,Coleoptera,Notiophilus biguttatus,1,PL
DW,DW_P1_2,DW_P1,Coleoptera,Platynus assimilis,2,PL
DW,DW_P1_2,DW_P1,Coleoptera,Bycatch,3,PL
DW,DW_P1_2,DW_P1,Coleoptera,Trochosa terricola,1,PL
DW,DW_P1_2,DW_P1,Araneae,Linyphiidae,1,PL
DW,DW_P1_3,DW_P1,Coleoptera,Bembidion biguttatum,1,PL
DW,DW_P1_3,DW_P1,Araneae,Linyphiidae,5,PL
DW,DW_P1_3,DW_P1,Coleoptera,Platynus assimilis,2,PL
DW,DW_P1_4,DW_P1,Araneae,Linyphiidae,6,PL
DW,DW_P1_4,DW_P1,Coleoptera,Limodromus assimilis,1,PL
DW,DW_P1_5,DW_P1,Araneae,Lycosidae. Immature.,1,PL
DW,DW_P1_6,DW_P1,Araneae,Alopecosa pulverulenta,1,PL
DW,DW_P1_6,DW_P1,Araneae,Pardosa proxima,1,PL
