Source,Site,Type,ID,Age,plotID,Species,Latin.name,h.Code
NC,ArgerFen1,Mature,EA-EWNC-2030-ARG1,Mature,EA-EWNC-2030-ARG1 10-60A,Lords and ladies,Arum maculatum,Specialist
NC,ArgerFen1,Mature,EA-EWNC-2030-ARG1,Mature,EA-EWNC-2030-ARG1 10-60A,False brome,Brachypodium sylvaticum,Specialist
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG170-150B,False brome,Brachypodium sylvaticum,Specialist
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG170-150A,Soft brome,Bromus hordeaceus,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG10-30B,Soft brome,Bromus hordeaceus,Non-woodland
NC,ArgerFen1,Mature,EA-EWPL-2030-ARG1,Mature,EA-EWPL-2030-ARG1 10-60B,Bryophytes,Bryophyta,Non-woodland
NC,ArgerFen1,Mature,EA-EWPL-2030-ARG1,Mature,EA-EWPL-2030-ARG1 10-60A,Bryophytes,Bryophyta,Non-woodland
NC,ArgerFen1,Mature,EA-EWNC-2030-ARG1,Mature,EA-EWNC-2030-ARG1 10-60B,Bryophytes,Bryophyta,Non-woodland
NC,ArgerFen1,Mature,EA-EWNC-2030-ARG1,Mature,EA-EWNC-2030-ARG1 10-60A,Bryophytes,Bryophyta,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG10-30A,Bryophytes,Bryophyta,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG130-70B,Bryophytes,Bryophyta,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG170-150A,Bryophytes,Bryophyta,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG170-150B,Bryophytes,Bryophyta,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG130-70A,Bryophytes,Bryophyta,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG10-30B,Bryophytes,Bryophyta,Non-woodland
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG170-150A,Bryophytes,Bryophyta,Non-woodland
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG170-150B,Bryophytes,Bryophyta,Non-woodland
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG130-70B,Bryophytes,Bryophyta,Non-woodland
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG130-70A,Bryophytes,Bryophyta,Non-woodland
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG10-30B,Bryophytes,Bryophyta,Non-woodland
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG10-30A,Bryophytes,Bryophyta,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG130-70A,Wood sedge,Carex remota,Specialist
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG10-30B,Wood sedge,Carex sylvatica,Specialist
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG170-150B,Common centaury,Centaurium erythraea,Non-woodland
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG10-30B,Common mouse ear,Cerastium fontanum,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG130-70B,Rough chervil,Chaerophyllum temulum,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG170-150A,Rough chervil,Chaerophyllum temulum,Non-woodland
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG130-70B,Rosebay willowherb,Chamerion angustifolium,Generalist
NC,ArgerFen1,Mature,EA-EWPL-2030-ARG1,Mature,EA-EWPL-2030-ARG1 10-60A,Enchanters nightshade,Circaea lutetiana,Generalist
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG170-150A,Creeping thistle,Cirsium arvense,Non-woodland
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG130-70B,Creeping thistle,Cirsium arvense,Non-woodland
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG10-30B,Creeping thistle,Cirsium arvense,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG10-30A,Marsh thistle,Cirsium palustre,Generalist
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG170-150B,Marsh thistle,Cirsium palustre,Generalist
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG130-70A,Marsh thistle,Cirsium palustre,Generalist
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG10-30B,Marsh thistle,Cirsium palustre,Generalist
NC,ArgerFen1,Mature,EA-EWPL-2030-ARG1,Mature,EA-EWPL-2030-ARG1 10-60A,Great fen sedge,Cladium mariscus,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG170-150B,Field bindweed,Convolvulus arvensis,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG170-150B,Crested dogs tail,Cynosurus cristatus,Non-woodland
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG10-30B,Broom,Cytisus scoparius,Generalist
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG170-150B,Cocks foot,Dactylis glomerata,Generalist
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG10-30B,Cocks foot,Dactylis glomerata,Generalist
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG10-30B,Cocks foot,Dactylis glomerata,Generalist
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG10-30B,Wild carrot,Daucus carota,Non-woodland
NC,ArgerFen1,Mature,EA-EWNC-2030-ARG1,Mature,EA-EWNC-2030-ARG1 10-60B,Foxglove,Digitalis purpurea,Generalist
NC,ArgerFen1,Mature,EA-EWPL-2030-ARG1,Mature,EA-EWPL-2030-ARG1 10-60A,Broad buckler,Dryopteris dilatata,Generalist
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG10-30B,American willowherb,Epilobium ciliatum,Non-woodland
NC,ArgerFen1,Mature,EA-EWNC-2030-ARG1,Mature,EA-EWNC-2030-ARG1 10-60B,Willowherb sp. ,Epilobium sp.,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG170-150A,Willowherb sp. ,Epilobium sp.,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG10-30B,Willowherb sp. ,Epilobium sp.,Non-woodland
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG170-150B,Willowherb sp. ,Epilobium sp.,Non-woodland
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG170-150A,Field horsetail,Equisetum arvense,Non-woodland
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG170-150B,Field horsetail,Equisetum arvense,Non-woodland
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG130-70A,Field horsetail,Equisetum arvense,Non-woodland
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG10-30B,Field horsetail,Equisetum arvense,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG170-150A,Hemp agrimony,Eupatorium cannabinum,Generalist
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG170-150B,Red fescue,Festuca rubra,Generalist
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG130-70B,Red fescue,Festuca rubra,Generalist
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG130-70A,Red fescue,Festuca rubra,Generalist
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG10-30B,Red fescue,Festuca rubra,Generalist
NC,ArgerFen1,Mature,EA-EWPL-2030-ARG1,Mature,EA-EWPL-2030-ARG1 10-60A,Meadowsweet,Filipendula ulmaria,Generalist
NC,ArgerFen1,Mature,EA-EWPL-2030-ARG1,Mature,EA-EWPL-2030-ARG1 10-60B,Cleavers,Galium aparine,Generalist
NC,ArgerFen1,Mature,EA-EWPL-2030-ARG1,Mature,EA-EWPL-2030-ARG1 10-60A,Cleavers,Galium aparine,Generalist
NC,ArgerFen1,Mature,EA-EWNC-2030-ARG1,Mature,EA-EWNC-2030-ARG1 10-60B,Cleavers,Galium aparine,Generalist
NC,ArgerFen1,Mature,EA-EWNC-2030-ARG1,Mature,EA-EWNC-2030-ARG1 10-60A,Cleavers,Galium aparine,Generalist
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG130-70A,Cleavers ,Galium aparine,Generalist
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG170-150A,Cleavers,Galium aparine,Generalist
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG10-30B,Cleavers,Galium aparine,Generalist
NC,ArgerFen1,Mature,EA-EWPL-2030-ARG1,Mature,EA-EWPL-2030-ARG1 10-60B,Herb robert,Geranium robertianum,Specialist
NC,ArgerFen1,Mature,EA-EWPL-2030-ARG1,Mature,EA-EWPL-2030-ARG1 10-60A,Herb robert,Geranium robertianum,Specialist
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG170-150A,Herb robert,Geranium robertianum,Specialist
NC,ArgerFen1,Mature,EA-EWPL-2030-ARG1,Mature,EA-EWPL-2030-ARG1 10-60B,Wood avens,Geum urbanum,Generalist
NC,ArgerFen1,Mature,EA-EWPL-2030-ARG1,Mature,EA-EWPL-2030-ARG1 10-60A,Wood avens,Geum urbanum,Generalist
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG130-70B,Wood avens,Geum urbanum,Generalist
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG10-30B,Wood avens,Geum urbanum,Generalist
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG130-70A,Wood avens,Geum urbanum,Generalist
NC,ArgerFen1,Mature,EA-EWPL-2030-ARG1,Mature,EA-EWPL-2030-ARG1 10-60A,Ground ivy,Glechoma hederacea,Generalist
NC,ArgerFen1,Mature,EA-EWNC-2030-ARG1,Mature,EA-EWNC-2030-ARG1 10-60B,Ivy,Hedera helix,Generalist
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG170-150B,Common hogweed,Heracleum sphondylium,Generalist
NC,ArgerFen1,Mature,EA-EWPL-2030-ARG1,Mature,EA-EWPL-2030-ARG1 10-60B,Yorkshire fog,Holcus lanatus,Generalist
NC,ArgerFen1,Mature,EA-EWNC-2030-ARG1,Mature,EA-EWNC-2030-ARG1 10-60B,Yorkshire fog,Holcus lanatus,Generalist
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG130-70B,Yorkshire fog,Holcus lanatus,Generalist
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG170-150B,Yorkshire fog,Holcus lanatus,Generalist
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG130-70A,Yorkshire fog,Holcus lanatus,Generalist
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG10-30B,Yorkshire fog,Holcus lanatus,Generalist
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG130-70A,Yorkshire fog,Holcus lanatus,Generalist
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG10-30B,Yorkshire fog,Holcus lanatus,Generalist
NC,ArgerFen1,Mature,EA-EWNC-2030-ARG1,Mature,EA-EWNC-2030-ARG1 10-60B,Bluebell,Hyacinthoides non-scripta,Specialist
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG170-150A,Bluebell,Hyacinthoides non-scripta,Specialist
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG170-150B,Cats ear,Hypochaeris radicata,Non-woodland
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG10-30B,Cats ear,Hypochaeris radicata,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG10-30A,Soft rush,Juncus effusus,Generalist
NC,ArgerFen1,Mature,EA-EWNC-2030-ARG1,Mature,EA-EWNC-2030-ARG1 10-60B,Nipplewort,Lapsana communis,Generalist
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG10-30B,Perenial ryegrass,Lolium perenne,Non-woodland
NC,ArgerFen1,Mature,EA-EWNC-2030-ARG1,Mature,EA-EWNC-2030-ARG1 10-60A,Dogs mercury,Mercurialis perennis,Specialist
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG170-150A,Field forget-me-not,Myosotis arvensis,Generalist
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG170-150B,Field forget-me-not,Myosotis arvensis,Generalist
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG10-30B,Field forget-me-not,Myosotis arvensis,Generalist
NC,ArgerFen1,Mature,EA-EWPL-2030-ARG1,Mature,EA-EWPL-2030-ARG1 10-60B,Grazing,,Non-woodland
NC,ArgerFen1,Mature,EA-EWPL-2030-ARG1,Mature,EA-EWPL-2030-ARG1 10-60B,Leaf litter,,Non-woodland
NC,ArgerFen1,Mature,EA-EWPL-2030-ARG1,Mature,EA-EWPL-2030-ARG1 10-60B,Bare ground,,Non-woodland
NC,ArgerFen1,Mature,EA-EWPL-2030-ARG1,Mature,EA-EWPL-2030-ARG1 10-60A,Grazing,,Non-woodland
NC,ArgerFen1,Mature,EA-EWPL-2030-ARG1,Mature,EA-EWPL-2030-ARG1 10-60A,Leaf litter,,Non-woodland
NC,ArgerFen1,Mature,EA-EWPL-2030-ARG1,Mature,EA-EWPL-2030-ARG1 10-60A,Bare ground,,Non-woodland
NC,ArgerFen1,Mature,EA-EWNC-2030-ARG1,Mature,EA-EWNC-2030-ARG1 10-60B,Grazing,,Non-woodland
NC,ArgerFen1,Mature,EA-EWNC-2030-ARG1,Mature,EA-EWNC-2030-ARG1 10-60B,Leaf litter,,Non-woodland
NC,ArgerFen1,Mature,EA-EWNC-2030-ARG1,Mature,EA-EWNC-2030-ARG1 10-60B,Bare ground,,Non-woodland
NC,ArgerFen1,Mature,EA-EWNC-2030-ARG1,Mature,EA-EWNC-2030-ARG1 10-60A,Grazing,,Non-woodland
NC,ArgerFen1,Mature,EA-EWNC-2030-ARG1,Mature,EA-EWNC-2030-ARG1 10-60A,Leaf litter,,Non-woodland
NC,ArgerFen1,Mature,EA-EWNC-2030-ARG1,Mature,EA-EWNC-2030-ARG1 10-60A,Bare ground,,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG10-30A,Grazing,,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG10-30A,Leaf litter,,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG10-30A,Bare ground,,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG130-70B,Grazing,,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG130-70B,Leaf litter,,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG130-70B,Bare ground,,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG170-150A,Grazing,,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG170-150A,Leaf litter,,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG170-150A,Bare ground,,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG170-150B,Grazing,,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG170-150B,Leaf litter,,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG170-150B,Bare ground,,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG130-70A,Grazing,,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG130-70A,Leaf litter,,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG130-70A,Bare ground,,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG10-30B,Grazing,,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG10-30B,Leaf litter,,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG10-30B,Bare ground,,Non-woodland
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG170-150A,Grazing,,Non-woodland
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG170-150A,Leaf litter,,Non-woodland
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG170-150A,Bare ground,,Non-woodland
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG170-150B,Grazing,,Non-woodland
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG170-150B,Leaf litter,,Non-woodland
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG170-150B,Bare ground,,Non-woodland
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG130-70B,Grazing,,Non-woodland
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG130-70B,Leaf litter,,Non-woodland
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG130-70B,Bare ground,,Non-woodland
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG130-70A,Grazing,,Non-woodland
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG130-70A,Leaf litter,,Non-woodland
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG130-70A,Bare ground,,Non-woodland
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG10-30B,Grazing,,Non-woodland
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG10-30B,Leaf litter,,Non-woodland
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG10-30B,Bare ground,,Non-woodland
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG10-30A,Leaf litter,,Non-woodland
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG10-30A,Bare ground,,Non-woodland
NC,ArgerFen1,Mature,EA-EWPL-2030-ARG1,Mature,EA-EWPL-2030-ARG1 10-60A,Common reed,Phragmites australis,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG170-150B,Bristly oxtongue,Picris echioides,Non-woodland
NC,ArgerFen1,Mature,EA-EWNC-2030-ARG1,Mature,EA-EWNC-2030-ARG1 10-60A,Rough meadow grass,Poa trivialis,Generalist
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG130-70B,Rough meadow grass,Poa trivialis,Generalist
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG170-150A,Rough meadow grass,Poa trivialis,Generalist
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG170-150B,Rough meadow grass,Poa trivialis,Generalist
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG130-70A,Rough meadow grass,Poa trivialis,Generalist
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG170-150B,Rough meadow grass,Poa trivialis,Generalist
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG10-30A,Rough meadow grass,Poa trivialis,Generalist
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG130-70B,Self heal,Prunella vulgaris,Generalist
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG170-150A,Self heal,Prunella vulgaris,Generalist
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG170-150A,Common fleabane,Pulicaria dysenterica,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG170-150B,Common fleabane,Pulicaria dysenterica,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG130-70A,Common fleabane,Pulicaria dysenterica,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG10-30B,Common fleabane,Pulicaria dysenterica,Non-woodland
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG10-30B,Field rose,Rosa arvensis,Specialist
NC,ArgerFen1,Mature,EA-EWPL-2030-ARG1,Mature,EA-EWPL-2030-ARG1 10-60B,Bramble,Rubus fruticosus agg.,Non-woodland
NC,ArgerFen1,Mature,EA-EWPL-2030-ARG1,Mature,EA-EWPL-2030-ARG1 10-60A,Bramble,Rubus fruticosus agg.,Non-woodland
NC,ArgerFen1,Mature,EA-EWNC-2030-ARG1,Mature,EA-EWNC-2030-ARG1 10-60B,Bramble,Rubus fruticosus agg.,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG10-30A,Bramble,Rubus fruticosus agg.,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG130-70B,Bramble,Rubus fruticosus agg.,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG170-150A,Bramble,Rubus fruticosus agg.,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG130-70A,Bramble,Rubus fruticosus agg.,Non-woodland
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG170-150A,Bramble,Rubus fruticosus agg.,Non-woodland
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG130-70B,Bramble,Rubus fruticosus agg.,Non-woodland
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG10-30A,Bramble,Rubus fruticosus agg.,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG130-70B,Broad-leaved dock,Rumex obtusifolius,Generalist
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG170-150A,Common ragwort,Senecio jacobaea,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG170-150B,Common ragwort,Senecio jacobaea,Non-woodland
NC,ArgerFen1,NC,EA-NC-2030-ARG1,18,EA-NC-2030-ARG10-30B,Hairy ragwort,Senecio jacobaea,Non-woodland
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG10-30B,Common ragwort,Senecio jacobaea,Non-woodland
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG170-150A,Red campion,Silene dioica,Specialist
NC,ArgerFen1,Mature,EA-EWPL-2030-ARG1,Mature,EA-EWPL-2030-ARG1 10-60B,Hedge woundwort,Stachys sylvatica,Specialist
NC,ArgerFen1,Mature,EA-EWPL-2030-ARG1,Mature,EA-EWPL-2030-ARG1 10-60A,Greater stitchwort,Stellaria holostea,Specialist
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG170-150A,Dandelion,Taraxacum,Generalist
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG10-30B,Dandelion,Taraxacum,Generalist
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG10-30A,Dandelion,Taraxacum,Generalist
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG10-30B,Goat's beard,Tragopogon pratensis,Non-woodland
NC,ArgerFen1,PL,EA-PL-2030-ARG1,19,EA-PL-2030-ARG10-30B,White clover,Trifolium repens,Non-woodland
