Year,Site_ID,Country,Date,Collection_no,No_of_traps,Species,Species_occ
2013,4251,2,01/07/2013,1,7,Exomias.pellucidus,1
2013,4251,2,01/07/2013,1,7,Geotrupes.stercorarius,0
2013,4251,2,01/07/2013,1,7,Harpalus.latus,0
2013,4251,2,01/07/2013,1,7,Helophorus.brevipalpis,0
2013,4251,2,01/07/2013,1,7,Hypnoidus.riparius,0
2013,4251,2,01/07/2013,1,7,Leistus.rufomarginatus,0
2013,4251,2,01/07/2013,1,7,Leistus.terminatus,0
2013,4251,2,01/07/2013,1,7,Leodidae..Genus.Choleva,0
2013,4251,2,01/07/2013,1,7,Lesteva.longoelytrata,0
2013,4251,2,01/07/2013,1,7,Loricera.pilicornis,1
2013,4251,2,01/07/2013,1,7,Megasternum.concinnum,0
2013,4251,2,01/07/2013,1,7,Melanotus.villosus,0
2013,4251,2,01/07/2013,1,7,Micrambe.ulicis,0
2013,4251,2,01/07/2013,1,7,Micropeplinae,0
2013,4251,2,01/07/2013,1,7,Nebria.brevicollis,16
2013,4251,2,01/07/2013,1,7,Neocrepidodera.ferruginea,0
2013,4251,2,01/07/2013,1,7,Nicrophorus.humator,0
2013,4251,2,01/07/2013,1,7,Nicrophorus.interruptus,0
2013,4251,2,01/07/2013,1,7,Nicrophorus.investigator,0
2013,4251,2,01/07/2013,1,7,Nicrophorus.vespilloides,0
2013,4251,2,01/07/2013,1,7,Notiophilus.biguttatus,0
2013,4251,2,01/07/2013,1,7,Ocypus.brunnipes,0
2013,4251,2,01/07/2013,1,7,Oiceoptoma.thoracicum,0
2013,4251,2,01/07/2013,1,7,Omaliinae,0
2013,4251,2,01/07/2013,1,7,Orchestes.fagi,0
2013,4251,2,01/07/2013,1,7,Othius.angustus,0
2013,4251,2,01/07/2013,1,7,Othius.laeviusculus,0
2013,4251,2,01/07/2013,1,7,Otiorhynchus.nodosus,0
2013,4251,2,01/07/2013,1,7,Otiorhynchus.singularis,0
2013,4251,2,01/07/2013,1,7,Paranchus.albipes,0
2013,4251,2,01/07/2013,1,7,Patrobus.atrorufus,0
2013,4251,2,01/07/2013,1,7,Phacophallus.parumpunctatus,0
2013,4251,2,01/07/2013,1,7,Philonthus.decorus,1
2013,4251,2,01/07/2013,1,7,Philonthus.laminatus,0
2013,4251,2,01/07/2013,1,7,Philonthus.marginatus,0
2013,4251,2,01/07/2013,1,7,Philonthus.splendens,0
2013,4251,2,01/07/2013,1,7,Philonthus.tenuicornis,0
2013,4251,2,01/07/2013,1,7,Phyllobius.argentatus,0
2013,4251,2,01/07/2013,1,7,platynus.assimilis,0
2013,4251,2,01/07/2013,1,7,Pterostichus.madidus,0
2013,4251,2,01/07/2013,1,7,Pterostichus.melanarius,1
2013,4251,2,01/07/2013,1,7,Pterostichus.niger,0
2013,4251,2,01/07/2013,1,7,Pterostichus.nigrata,0
2013,4251,2,01/07/2013,1,7,Pterostichus.strenuus,0
2013,4251,2,01/07/2013,1,7,Quedius.curtipennis,0
2013,4251,2,01/07/2013,1,7,Quedius.fuliginosus,0
2013,4251,2,01/07/2013,1,7,Quedius.lateralis,0
2013,4251,2,01/07/2013,1,7,Quedius.longicornis,0
2013,4251,2,01/07/2013,1,7,Quedius.mesomelinus,0
2013,4251,2,01/07/2013,1,7,Quedius.molochinus,0
2013,4251,2,01/07/2013,1,7,Quedius.nitipennis,0
2013,4251,2,01/07/2013,1,7,Quedius.puncticollis,0
2013,4251,2,01/07/2013,1,7,Quedius.scintillans,0
2013,4251,2,01/07/2013,1,7,Quedius.umbrinus,0
2013,4251,2,01/07/2013,1,7,Rhagonycha.nigriventris,0
2013,4251,2,01/07/2013,1,7,Rhizophagus.dispar,0
2013,4251,2,01/07/2013,1,7,Rugilus.rufipes,0
2013,4251,2,01/07/2013,1,7,Serica.brunnea,0
2013,4251,2,01/07/2013,1,7,Silpha.atrata,0
2013,4251,2,01/07/2013,1,7,Stenus.bimaculatus,0
2013,4251,2,01/07/2013,1,7,Stenus.boops,0
2013,4251,2,01/07/2013,1,7,Stenus.clavicornis,0
2013,4251,2,01/07/2013,1,7,Stenus.juno,0
2013,4251,2,01/07/2013,1,7,Stenus.lustrator,0
2013,4251,2,01/07/2013,1,7,Tachinus.humeralis,0
2013,4251,2,01/07/2013,1,7,Tachinus.marginellus,0
2013,4251,2,01/07/2013,1,7,Tachinus.rufipes,0
2013,4251,2,01/07/2013,1,7,Tachyporinae,0
2013,4251,2,01/07/2013,1,7,Timarcha.tenebricosa,0
2013,4251,2,01/07/2013,1,7,Trechus.obtusus,0
2013,4251,2,01/07/2013,1,7,Trechus.rubens,0
2013,4251,2,01/07/2013,1,7,Trechus.secalis,0
2013,4251,2,01/07/2013,1,7,Typhaeus.typhoeus,0
2013,4251,2,01/07/2013,1,7,Xantholinus.linearis,0
2013,4251,2,01/07/2013,1,7,Xantholinus.longiventris,0
2013,4251,2,01/07/2013,1,7,Agonum.emarginatum,NA
2013,4251,2,01/07/2013,1,7,Amara.communis,NA
2013,4251,2,01/07/2013,1,7,Amara.eurynota,NA
2013,4251,2,01/07/2013,1,7,Amara.familiaris,NA
2013,4251,2,01/07/2013,1,7,Amara.similata,NA
2013,4251,2,01/07/2013,1,7,Badister.bullatus,NA
2013,4251,2,01/07/2013,1,7,Bembidion.aeneum,NA
2013,4251,2,01/07/2013,1,7,Brachinus.crepitans,NA
2013,4251,2,01/07/2013,1,7,Calathus.fuscipes,NA
2013,4251,2,01/07/2013,1,7,Calathus.melanocephalus,NA
2013,4251,2,01/07/2013,1,7,Carabus.nemoralis,NA
2013,4251,2,01/07/2013,1,7,Euophryum.confine,NA
2013,4251,2,01/07/2013,1,7,Gastrophysa.polygoni,NA
2013,4251,2,01/07/2013,1,7,Harpalus.affinis,NA
2013,4251,2,01/07/2013,1,7,Harpalus.rufipes,NA
2013,4251,2,01/07/2013,1,7,Hemicrepidius.hirtus,NA
2013,4251,2,01/07/2013,1,7,Lathrobium.brunnipes,NA
2013,4251,2,01/07/2013,1,7,Lathrobium.elongatum,NA
2013,4251,2,01/07/2013,1,7,Lathrobium.fulvipenne,NA
2013,4251,2,01/07/2013,1,7,Lathrobium.terminatum,NA
2013,4251,2,01/07/2013,1,7,Leistus.ferrugineus,NA
2013,4251,2,01/07/2013,1,7,Leistus.fulvibarbis,NA
2013,4251,2,01/07/2013,1,7,Leistus.spinibarbis,NA
2013,4251,2,01/07/2013,1,7,Lesteva.sicula.heeri,NA
2013,4251,2,01/07/2013,1,7,Longitarsus.brunneus,NA
2013,4251,2,01/07/2013,1,7,Notiophilus.substriatus,NA
2013,4251,2,01/07/2013,1,7,Ocypus.aeneocephalus,NA
2013,4251,2,01/07/2013,1,7,Ocypus.olens,NA
2013,4251,2,01/07/2013,1,7,Othius.punctulatus,NA
2013,4251,2,01/07/2013,1,7,Othius.subuliformis,NA
2013,4251,2,01/07/2013,1,7,Otiorhynchus.rugosostriatus,NA
2013,4251,2,01/07/2013,1,7,Oxytelus.laqueatus,NA
2013,4251,2,01/07/2013,1,7,Philonthus.cognatus,NA
2013,4251,2,01/07/2013,1,7,Philonthus.mannerheimi,NA
2013,4251,2,01/07/2013,1,7,Platydracus.stercorarius,NA
2013,4251,2,01/07/2013,1,7,Platynus.assimilis,NA
2013,4251,2,01/07/2013,1,7,Poecilus.cupreus,NA
2013,4251,2,01/07/2013,1,7,Pterostichus.diligens,NA
2013,4251,2,01/07/2013,1,7,Pterostichus.minor,NA
2013,4251,2,01/07/2013,1,7,Pterostichus.nigrata.rhaeticus,NA
2013,4251,2,01/07/2013,1,7,Quedius.cruentus,NA
2013,4251,2,01/07/2013,1,7,Quedius.fumatus,NA
2013,4251,2,01/07/2013,1,7,Quedius.invreae,NA
2013,4251,2,01/07/2013,1,7,Quedius.levicollis,NA
2013,4251,2,01/07/2013,1,7,Quedius.maurorufus,NA
2013,4251,2,01/07/2013,1,7,Quedius.nigrocaeruleus,NA
2013,4251,2,01/07/2013,1,7,Staphylinus.erythropterus,NA
2013,4251,2,01/07/2013,1,7,Stenichnus.collaris,NA
2013,4251,2,01/07/2013,1,7,Stenus.brunnipes,NA
2013,4251,2,01/07/2013,1,7,Stenus.nitidiusculus,NA
2013,4251,2,01/07/2013,1,7,Stenus.picipennis,NA
2013,4251,2,01/07/2013,1,7,Stenus.pubescens,NA
2013,4251,2,01/07/2013,1,7,Synuchus.vivalis,NA
2013,4251,2,01/07/2013,1,7,Tachyporus.chrysomelinus,NA
2013,4251,2,01/07/2013,1,7,Tasgius.morsitans,NA
2013,4251,2,01/07/2013,1,7,Trechus.quadristriatus,NA
2013,4251,2,01/07/2013,1,7,Xantholinus.elegans,NA
2013,4251,2,01/07/2013,1,7,Xantholinus.gallicus,NA
2013,4282,2,01/07/2013,1,7,Abax.parallelepipedus,0
2013,4282,2,01/07/2013,1,7,Acidota.cruentata,0
2013,4282,2,01/07/2013,1,7,Agabus.didymus,0
2013,4282,2,01/07/2013,1,7,Agonum.fuliginosum,0
2013,4282,2,01/07/2013,1,7,Agonum.gracile,0
2013,4282,2,01/07/2013,1,7,Agonum.micans,0
2013,4282,2,01/07/2013,1,7,Agriotes.lineatus,1
2013,4282,2,01/07/2013,1,7,Agriotes.obscurus,0
2013,4282,2,01/07/2013,1,7,Agriotes.pallidulus,0
2013,4282,2,01/07/2013,1,7,Agriotes.sputator,0
2013,4282,2,01/07/2013,1,7,Aleocharinae,2
2013,4282,2,01/07/2013,1,7,Anchomenus.dorsalis,0
2013,4282,2,01/07/2013,1,7,Anotylus.inustus,0
2013,4282,2,01/07/2013,1,7,Anotylus.rugosus,0
2013,4282,2,01/07/2013,1,7,Anotylus.sculpturatus,0
2013,4282,2,01/07/2013,1,7,Aphodius.depressus,0
2013,4282,2,01/07/2013,1,7,Aphodius.fimetarius,0
2013,4282,2,01/07/2013,1,7,Aphodius.rufipes,0
2013,4282,2,01/07/2013,1,7,Athous.haemorrhoidalis,0
2013,4282,2,01/07/2013,1,7,Bembidion.lampros,0
2013,4282,2,01/07/2013,1,7,Bembidion.mannerheimii,0
2013,4282,2,01/07/2013,1,7,Bembidion.saxatile,0
2013,4282,2,01/07/2013,1,7,Bisnius.fimetarius,0
2013,4282,2,01/07/2013,1,7,Calathus.rotundicollis,0
2013,4282,2,01/07/2013,1,7,Cantharis.rustica,0
2013,4282,2,01/07/2013,1,7,Carabus.problematicus,0
2013,4282,2,01/07/2013,1,7,Carabus.violaceus,0
2013,4282,2,01/07/2013,1,7,Cartodere.nodifer,0
2013,4282,2,01/07/2013,1,7,Cassida.flaveola,0
2013,4282,2,01/07/2013,1,7,Catops.morio,0
2013,4282,2,01/07/2013,1,7,Choleva.jeanneli,0
2013,4282,2,01/07/2013,1,7,Choleva.oblonga,0
2013,4282,2,01/07/2013,1,7,Cholevinae..Genus.Catops,0
2013,4282,2,01/07/2013,1,7,Clivina.fossor,0
2013,4282,2,01/07/2013,1,7,Cryptophagidae..Genus.Atomaria,0
2013,4282,2,01/07/2013,1,7,Cychrus.caraboides,0
2013,4282,2,01/07/2013,1,7,Elaphrus.cupreus,0
2013,4282,2,01/07/2013,1,7,Exomias.araneiformis,0
2013,4282,2,01/07/2013,1,7,Exomias.pellucidus,4
2013,4282,2,01/07/2013,1,7,Geotrupes.stercorarius,0
2013,4282,2,01/07/2013,1,7,Harpalus.latus,0
2013,4282,2,01/07/2013,1,7,Helophorus.brevipalpis,0
2013,4282,2,01/07/2013,1,7,Hypnoidus.riparius,0
2013,4282,2,01/07/2013,1,7,Leistus.rufomarginatus,0
2013,4282,2,01/07/2013,1,7,Leistus.terminatus,0
2013,4282,2,01/07/2013,1,7,Leodidae..Genus.Choleva,0
2013,4282,2,01/07/2013,1,7,Lesteva.longoelytrata,0
2013,4282,2,01/07/2013,1,7,Loricera.pilicornis,0
2013,4282,2,01/07/2013,1,7,Megasternum.concinnum,0
2013,4282,2,01/07/2013,1,7,Melanotus.villosus,0
2013,4282,2,01/07/2013,1,7,Micrambe.ulicis,0
2013,4282,2,01/07/2013,1,7,Micropeplinae,0
2013,4282,2,01/07/2013,1,7,Nebria.brevicollis,7
2013,4282,2,01/07/2013,1,7,Neocrepidodera.ferruginea,0
2013,4282,2,01/07/2013,1,7,Nicrophorus.humator,0
2013,4282,2,01/07/2013,1,7,Nicrophorus.interruptus,0
2013,4282,2,01/07/2013,1,7,Nicrophorus.investigator,0
2013,4282,2,01/07/2013,1,7,Nicrophorus.vespilloides,0
2013,4282,2,01/07/2013,1,7,Notiophilus.biguttatus,0
2013,4282,2,01/07/2013,1,7,Ocypus.brunnipes,0
2013,4282,2,01/07/2013,1,7,Oiceoptoma.thoracicum,0
2013,4282,2,01/07/2013,1,7,Omaliinae,0
2013,4282,2,01/07/2013,1,7,Orchestes.fagi,0
2013,4282,2,01/07/2013,1,7,Othius.angustus,0
2013,4282,2,01/07/2013,1,7,Othius.laeviusculus,0
2013,4282,2,01/07/2013,1,7,Otiorhynchus.nodosus,0
2013,4282,2,01/07/2013,1,7,Otiorhynchus.singularis,0
2013,4282,2,01/07/2013,1,7,Paranchus.albipes,0
2013,4282,2,01/07/2013,1,7,Patrobus.atrorufus,0
2013,4282,2,01/07/2013,1,7,Phacophallus.parumpunctatus,0
2013,4282,2,01/07/2013,1,7,Philonthus.decorus,6
2013,4282,2,01/07/2013,1,7,Philonthus.laminatus,0
2013,4282,2,01/07/2013,1,7,Philonthus.marginatus,0
2013,4282,2,01/07/2013,1,7,Philonthus.splendens,0
2013,4282,2,01/07/2013,1,7,Philonthus.tenuicornis,0
2013,4282,2,01/07/2013,1,7,Phyllobius.argentatus,0
2013,4282,2,01/07/2013,1,7,platynus.assimilis,0
2013,4282,2,01/07/2013,1,7,Pterostichus.madidus,0
2013,4282,2,01/07/2013,1,7,Pterostichus.melanarius,2
2013,4282,2,01/07/2013,1,7,Pterostichus.niger,0
2013,4282,2,01/07/2013,1,7,Pterostichus.nigrata,0
2013,4282,2,01/07/2013,1,7,Pterostichus.strenuus,0
2013,4282,2,01/07/2013,1,7,Quedius.curtipennis,0
2013,4282,2,01/07/2013,1,7,Quedius.fuliginosus,0
2013,4282,2,01/07/2013,1,7,Quedius.lateralis,0
2013,4282,2,01/07/2013,1,7,Quedius.longicornis,0
2013,4282,2,01/07/2013,1,7,Quedius.mesomelinus,0
2013,4282,2,01/07/2013,1,7,Quedius.molochinus,0
2013,4282,2,01/07/2013,1,7,Quedius.nitipennis,0
2013,4282,2,01/07/2013,1,7,Quedius.puncticollis,0
2013,4282,2,01/07/2013,1,7,Quedius.scintillans,0
2013,4282,2,01/07/2013,1,7,Quedius.umbrinus,0
2013,4282,2,01/07/2013,1,7,Rhagonycha.nigriventris,0
2013,4282,2,01/07/2013,1,7,Rhizophagus.dispar,0
2013,4282,2,01/07/2013,1,7,Rugilus.rufipes,0
2013,4282,2,01/07/2013,1,7,Serica.brunnea,0
2013,4282,2,01/07/2013,1,7,Silpha.atrata,0
2013,4282,2,01/07/2013,1,7,Stenus.bimaculatus,0
2013,4282,2,01/07/2013,1,7,Stenus.boops,0
2013,4282,2,01/07/2013,1,7,Stenus.clavicornis,0
2013,4282,2,01/07/2013,1,7,Stenus.juno,0
2013,4282,2,01/07/2013,1,7,Stenus.lustrator,0
2013,4282,2,01/07/2013,1,7,Tachinus.humeralis,0
2013,4282,2,01/07/2013,1,7,Tachinus.marginellus,0
2013,4282,2,01/07/2013,1,7,Tachinus.rufipes,0
2013,4282,2,01/07/2013,1,7,Tachyporinae,0
2013,4282,2,01/07/2013,1,7,Timarcha.tenebricosa,0
2013,4282,2,01/07/2013,1,7,Trechus.obtusus,0
2013,4282,2,01/07/2013,1,7,Trechus.rubens,0
2013,4282,2,01/07/2013,1,7,Trechus.secalis,0
2013,4282,2,01/07/2013,1,7,Typhaeus.typhoeus,0
2013,4282,2,01/07/2013,1,7,Xantholinus.linearis,0
2013,4282,2,01/07/2013,1,7,Xantholinus.longiventris,0
2013,4282,2,01/07/2013,1,7,Agonum.emarginatum,NA
2013,4282,2,01/07/2013,1,7,Amara.communis,NA
2013,4282,2,01/07/2013,1,7,Amara.eurynota,NA
2013,4282,2,01/07/2013,1,7,Amara.familiaris,NA
2013,4282,2,01/07/2013,1,7,Amara.similata,NA
2013,4282,2,01/07/2013,1,7,Badister.bullatus,NA
2013,4282,2,01/07/2013,1,7,Bembidion.aeneum,NA
2013,4282,2,01/07/2013,1,7,Brachinus.crepitans,NA
2013,4282,2,01/07/2013,1,7,Calathus.fuscipes,NA
2013,4282,2,01/07/2013,1,7,Calathus.melanocephalus,NA
2013,4282,2,01/07/2013,1,7,Carabus.nemoralis,NA
2013,4282,2,01/07/2013,1,7,Euophryum.confine,NA
2013,4282,2,01/07/2013,1,7,Gastrophysa.polygoni,NA
2013,4282,2,01/07/2013,1,7,Harpalus.affinis,NA
2013,4282,2,01/07/2013,1,7,Harpalus.rufipes,NA
2013,4282,2,01/07/2013,1,7,Hemicrepidius.hirtus,NA
2013,4282,2,01/07/2013,1,7,Lathrobium.brunnipes,NA
2013,4282,2,01/07/2013,1,7,Lathrobium.elongatum,NA
2013,4282,2,01/07/2013,1,7,Lathrobium.fulvipenne,NA
2013,4282,2,01/07/2013,1,7,Lathrobium.terminatum,NA
2013,4282,2,01/07/2013,1,7,Leistus.ferrugineus,NA
2013,4282,2,01/07/2013,1,7,Leistus.fulvibarbis,NA
2013,4282,2,01/07/2013,1,7,Leistus.spinibarbis,NA
2013,4282,2,01/07/2013,1,7,Lesteva.sicula.heeri,NA
2013,4282,2,01/07/2013,1,7,Longitarsus.brunneus,NA
2013,4282,2,01/07/2013,1,7,Notiophilus.substriatus,NA
2013,4282,2,01/07/2013,1,7,Ocypus.aeneocephalus,NA
2013,4282,2,01/07/2013,1,7,Ocypus.olens,NA
2013,4282,2,01/07/2013,1,7,Othius.punctulatus,NA
2013,4282,2,01/07/2013,1,7,Othius.subuliformis,NA
2013,4282,2,01/07/2013,1,7,Otiorhynchus.rugosostriatus,NA
2013,4282,2,01/07/2013,1,7,Oxytelus.laqueatus,NA
2013,4282,2,01/07/2013,1,7,Philonthus.cognatus,NA
2013,4282,2,01/07/2013,1,7,Philonthus.mannerheimi,NA
2013,4282,2,01/07/2013,1,7,Platydracus.stercorarius,NA
2013,4282,2,01/07/2013,1,7,Platynus.assimilis,NA
2013,4282,2,01/07/2013,1,7,Poecilus.cupreus,NA
2013,4282,2,01/07/2013,1,7,Pterostichus.diligens,NA
2013,4282,2,01/07/2013,1,7,Pterostichus.minor,NA
2013,4282,2,01/07/2013,1,7,Pterostichus.nigrata.rhaeticus,NA
2013,4282,2,01/07/2013,1,7,Quedius.cruentus,NA
2013,4282,2,01/07/2013,1,7,Quedius.fumatus,NA
2013,4282,2,01/07/2013,1,7,Quedius.invreae,NA
2013,4282,2,01/07/2013,1,7,Quedius.levicollis,NA
2013,4282,2,01/07/2013,1,7,Quedius.maurorufus,NA
2013,4282,2,01/07/2013,1,7,Quedius.nigrocaeruleus,NA
2013,4282,2,01/07/2013,1,7,Staphylinus.erythropterus,NA
2013,4282,2,01/07/2013,1,7,Stenichnus.collaris,NA
2013,4282,2,01/07/2013,1,7,Stenus.brunnipes,NA
2013,4282,2,01/07/2013,1,7,Stenus.nitidiusculus,NA
2013,4282,2,01/07/2013,1,7,Stenus.picipennis,NA
2013,4282,2,01/07/2013,1,7,Stenus.pubescens,NA
2013,4282,2,01/07/2013,1,7,Synuchus.vivalis,NA
2013,4282,2,01/07/2013,1,7,Tachyporus.chrysomelinus,NA
2013,4282,2,01/07/2013,1,7,Tasgius.morsitans,NA
2013,4282,2,01/07/2013,1,7,Trechus.quadristriatus,NA
2013,4282,2,01/07/2013,1,7,Xantholinus.elegans,NA
2013,4282,2,01/07/2013,1,7,Xantholinus.gallicus,NA
2013,3300,2,02/07/2013,1,7,Abax.parallelepipedus,0
2013,3300,2,02/07/2013,1,7,Acidota.cruentata,0
2013,3300,2,02/07/2013,1,7,Agabus.didymus,0
2013,3300,2,02/07/2013,1,7,Agonum.fuliginosum,1
2013,3300,2,02/07/2013,1,7,Agonum.gracile,0
2013,3300,2,02/07/2013,1,7,Agonum.micans,0
2013,3300,2,02/07/2013,1,7,Agriotes.lineatus,0
2013,3300,2,02/07/2013,1,7,Agriotes.obscurus,0
2013,3300,2,02/07/2013,1,7,Agriotes.pallidulus,0
2013,3300,2,02/07/2013,1,7,Agriotes.sputator,0
2013,3300,2,02/07/2013,1,7,Aleocharinae,1
2013,3300,2,02/07/2013,1,7,Anchomenus.dorsalis,0
2013,3300,2,02/07/2013,1,7,Anotylus.inustus,0
2013,3300,2,02/07/2013,1,7,Anotylus.rugosus,0
2013,3300,2,02/07/2013,1,7,Anotylus.sculpturatus,0
2013,3300,2,02/07/2013,1,7,Aphodius.depressus,0
2013,3300,2,02/07/2013,1,7,Aphodius.fimetarius,0
2013,3300,2,02/07/2013,1,7,Aphodius.rufipes,1
2013,3300,2,02/07/2013,1,7,Athous.haemorrhoidalis,0
2013,3300,2,02/07/2013,1,7,Bembidion.lampros,0
2013,3300,2,02/07/2013,1,7,Bembidion.mannerheimii,0
2013,3300,2,02/07/2013,1,7,Bembidion.saxatile,0
2013,3300,2,02/07/2013,1,7,Bisnius.fimetarius,0
2013,3300,2,02/07/2013,1,7,Calathus.rotundicollis,0
2013,3300,2,02/07/2013,1,7,Cantharis.rustica,0
2013,3300,2,02/07/2013,1,7,Carabus.problematicus,0
2013,3300,2,02/07/2013,1,7,Carabus.violaceus,0
2013,3300,2,02/07/2013,1,7,Cartodere.nodifer,0
2013,3300,2,02/07/2013,1,7,Cassida.flaveola,0
2013,3300,2,02/07/2013,1,7,Catops.morio,0
2013,3300,2,02/07/2013,1,7,Choleva.jeanneli,0
2013,3300,2,02/07/2013,1,7,Choleva.oblonga,0
2013,3300,2,02/07/2013,1,7,Cholevinae..Genus.Catops,0
2013,3300,2,02/07/2013,1,7,Clivina.fossor,0
2013,3300,2,02/07/2013,1,7,Cryptophagidae..Genus.Atomaria,0
2013,3300,2,02/07/2013,1,7,Cychrus.caraboides,0
2013,3300,2,02/07/2013,1,7,Elaphrus.cupreus,0
2013,3300,2,02/07/2013,1,7,Exomias.araneiformis,0
2013,3300,2,02/07/2013,1,7,Exomias.pellucidus,0
2013,3300,2,02/07/2013,1,7,Geotrupes.stercorarius,0
2013,3300,2,02/07/2013,1,7,Harpalus.latus,0
2013,3300,2,02/07/2013,1,7,Helophorus.brevipalpis,0
2013,3300,2,02/07/2013,1,7,Hypnoidus.riparius,0
2013,3300,2,02/07/2013,1,7,Leistus.rufomarginatus,0
2013,3300,2,02/07/2013,1,7,Leistus.terminatus,0
2013,3300,2,02/07/2013,1,7,Leodidae..Genus.Choleva,0
2013,3300,2,02/07/2013,1,7,Lesteva.longoelytrata,0
2013,3300,2,02/07/2013,1,7,Loricera.pilicornis,0
2013,3300,2,02/07/2013,1,7,Megasternum.concinnum,0
2013,3300,2,02/07/2013,1,7,Melanotus.villosus,0
2013,3300,2,02/07/2013,1,7,Micrambe.ulicis,0
2013,3300,2,02/07/2013,1,7,Micropeplinae,0
2013,3300,2,02/07/2013,1,7,Nebria.brevicollis,33
2013,3300,2,02/07/2013,1,7,Neocrepidodera.ferruginea,0
2013,3300,2,02/07/2013,1,7,Nicrophorus.humator,0
2013,3300,2,02/07/2013,1,7,Nicrophorus.interruptus,0
2013,3300,2,02/07/2013,1,7,Nicrophorus.investigator,0
2013,3300,2,02/07/2013,1,7,Nicrophorus.vespilloides,0
2013,3300,2,02/07/2013,1,7,Notiophilus.biguttatus,0
2013,3300,2,02/07/2013,1,7,Ocypus.brunnipes,0
2013,3300,2,02/07/2013,1,7,Oiceoptoma.thoracicum,0
2013,3300,2,02/07/2013,1,7,Omaliinae,0
2013,3300,2,02/07/2013,1,7,Orchestes.fagi,0
2013,3300,2,02/07/2013,1,7,Othius.angustus,0
2013,3300,2,02/07/2013,1,7,Othius.laeviusculus,0
2013,3300,2,02/07/2013,1,7,Otiorhynchus.nodosus,0
2013,3300,2,02/07/2013,1,7,Otiorhynchus.singularis,0
2013,3300,2,02/07/2013,1,7,Paranchus.albipes,0
2013,3300,2,02/07/2013,1,7,Patrobus.atrorufus,0
2013,3300,2,02/07/2013,1,7,Phacophallus.parumpunctatus,0
2013,3300,2,02/07/2013,1,7,Philonthus.decorus,0
2013,3300,2,02/07/2013,1,7,Philonthus.laminatus,0
2013,3300,2,02/07/2013,1,7,Philonthus.marginatus,0
2013,3300,2,02/07/2013,1,7,Philonthus.splendens,0
2013,3300,2,02/07/2013,1,7,Philonthus.tenuicornis,0
2013,3300,2,02/07/2013,1,7,Phyllobius.argentatus,0
2013,3300,2,02/07/2013,1,7,platynus.assimilis,1
2013,3300,2,02/07/2013,1,7,Pterostichus.madidus,0
2013,3300,2,02/07/2013,1,7,Pterostichus.melanarius,1
2013,3300,2,02/07/2013,1,7,Pterostichus.niger,1
2013,3300,2,02/07/2013,1,7,Pterostichus.nigrata,1
2013,3300,2,02/07/2013,1,7,Pterostichus.strenuus,0
2013,3300,2,02/07/2013,1,7,Quedius.curtipennis,0
2013,3300,2,02/07/2013,1,7,Quedius.fuliginosus,0
2013,3300,2,02/07/2013,1,7,Quedius.lateralis,0
2013,3300,2,02/07/2013,1,7,Quedius.longicornis,0
